action_id,org_id,action,action_detail,action_type,how_you_help,time_minutes,time_label,where
1,1,Repack produce for distribution,Sort and box fresh produce on the warehouse floor for member pantries.,volunteer_shift,time,120,2 hr,in_person
2,1,Post the 'hunger isn't a choice' graphic,Share their campaign post so more neighbors know free food is nearby.,share_message,voice,2,2 min,remote
3,1,Email your county commissioner on food funding,Send a two-minute note backing local hunger-relief dollars.,contact_official,voice,5,5 min,remote
4,2,Pack grocery orders,Assemble personalized grocery boxes for client-choice pickup.,volunteer_shift,time,150,2 hr 30 min,in_person
5,2,Run a virtual food drive,Set up an online drive and rally your circle to fund groceries.,fundraise,time,30,30 min,remote
6,2,Share the pantry finder,Post the map so people know where and when to get food.,share_message,voice,2,2 min,remote
7,3,Sort clothing donations,"Fold, size, and shelve donated clothes for the free store.",volunteer_shift,time,120,2 hr,in_person
8,3,Drop off winter coats,Bring gently used coats and warm layers to the donation door.,donate_goods,goods,20,20 min,in_person
9,3,Post their volunteer call,Amplify their weekly shift openings to your neighbors.,share_message,voice,2,2 min,remote
10,4,Stock pantry shelves,Restock and face shelves before distribution opens.,volunteer_shift,time,90,1 hr 30 min,in_person
11,4,Deliver groceries to a homebound neighbor,Drive a short route dropping food to people who can't travel.,volunteer_shift,time,75,1 hr 15 min,in_person
12,4,Sign up for a monthly grocery gift,Pledge a recurring grocery contribution online.,fundraise,time,5,5 min,remote
13,5,Serve the evening meal,Plate and serve dinner in the community dining room.,volunteer_shift,time,180,3 hr,in_person
14,5,Prep produce in the kitchen,Wash and chop vegetables for the day's meal.,volunteer_shift,time,120,2 hr,in_person
15,5,Share tonight's meal count,Post their impact numbers to make the need visible.,share_message,voice,2,2 min,remote
16,6,Drive one food rescue,Pick up surplus from a restaurant and drop it at a shelter.,volunteer_shift,time,45,45 min,in_person
17,6,Claim a recurring weekly rescue,Commit to a standing pickup route through the app.,volunteer_shift,time,45,45 min,either
18,6,Recruit a restaurant,Ask a local spot to donate surplus instead of tossing it.,skilled_task,skill,30,30 min,either
19,7,Assemble hygiene kits,"Build kits with soap, socks, and essentials for the outreach bus.",volunteer_shift,time,90,1 hr 30 min,in_person
20,7,Donate new socks and toiletries,Drop off packaged hygiene supplies for street outreach.,donate_goods,goods,15,15 min,in_person
21,7,Post the outreach schedule,Share where the health bus will be this week.,share_message,voice,2,2 min,remote
22,8,Call your state rep on housing funding,Two-minute call urging support for homelessness prevention dollars.,contact_official,voice,3,3 min,remote
23,8,Sign the housing-is-a-right petition,Add your name to their statewide petition.,sign_petition,voice,2,2 min,remote
24,8,Join a lobby day in Springfield,Ride along to meet legislators on housing bills.,attend_event,time,240,4 hr,in_person
25,9,Stock the community market,Shelve food and goods in their free client market.,volunteer_shift,time,120,2 hr,in_person
26,9,Host a supply drive,Collect hygiene and household items with your group.,donate_goods,time,60,1 hr,either
27,9,Share a youth's story,Amplify a client story to build support.,share_message,voice,2,2 min,remote
